/Users/terrace/Library/Python/3.9/lib/python/site-packages/optuna/_experimental.py:33: ExperimentalWarning: Argument ``multivariate`` is an experimental feature. The interface can change in the future.
  optuna_warn(
Aeolia History Engine Optimizer (Optuna TPE)
  Trials       : 10000
  Seeds        : [216089, 51, 73, 74, 11, 66, 17, 42, 97, 137, 256]
  Params       : 33
  Variance λ   : 0.3
  Results dir  : /Users/terrace/Labs/Aeolia/aeolia-godot/optimization/results

Loading worlds...
  seed=216089 [candidate]: 42 archs, 144 edges
  seed=51 [candidate]: 42 archs, 143 edges
  seed=73 [candidate]: 42 archs, 148 edges
  seed=74 [candidate]: 42 archs, 140 edges
  seed=11 [candidate]: 42 archs, 146 edges
  seed=66 [candidate]: 42 archs, 142 edges
  seed=17 [godot]: 42 archs, 151 edges
  seed=42 [godot]: 42 archs, 150 edges
  seed=97 [godot]: 42 archs, 142 edges
  seed=137 [godot]: 42 archs, 151 edges
  seed=256 [godot]: 42 archs, 143 edges

Evaluating default params (baseline)...
  Baseline total=35.5117  mean=32.8878  std=8.7463
  Components: lattice_density=0.022  reach_spread=0.181  lattice_latitude=0.339  reach_latitude=1.089  lattice_shelf=0.090  civ_gap=0.408  peak_asymmetry=0.000  edge_topology=0.135  climate_crop=0.327  yield_asymmetry=0.007  industrial_convergence=0.000  nav_weapons_coupling=0.000  security_dilemma=0.000  nuclear_emergence=0.000  pu_dependency=1.159  pu_convergence=10.727  supply_chain=0.000  cu_tech_lead=0.036  au_priority=2.727  serial_horizon=4.000  maritime_asymmetry=0.335  colonial_extraction=1.667  nuclear_convergence=7.360  df_timing=0.213  sov_ordering=0.008  sov_recovery=0.000  pop_ratio=2.000  pop_inequality=0.020  epi_correlation=0.038

Trial     Total      Mean      Std      Best
-------------------------------------------------------
    1   36.6027   34.5060   6.9887   36.6027 *
    2   39.4004   36.8960   8.3481   36.6027
    3   39.8160   37.1304   8.9521   36.6027
    4   37.9977   36.5279   4.8995   36.6027
    5   28.4221   26.7861   5.4533   28.4221 *
    6   33.1135   30.7553   7.8607   28.4221
    7   36.3071   33.4160   9.6373   28.4221
    8   37.0008   34.9668   6.7800   28.4221
    9   33.1328   30.7736   7.8640   28.4221
   10   27.3285   25.7697   5.1961   27.3285 *
   11   41.2127   39.4882   5.7486   27.3285
   12   38.6129   36.1055   8.3580   27.3285
   13   25.4154   23.8143   5.3372   25.4154 *
   14   28.3696   26.7291   5.4681   25.4154
   15   37.2071   33.9330  10.9137   25.4154
   16   34.5709   31.5656  10.0178   25.4154
   17   27.9417   25.9922   6.4983   25.4154
   18   34.3910   31.8476   8.4780   25.4154
   19   27.1131   26.6855   1.4253   25.4154
   20   34.9301   33.1236   6.0218   25.4154
   21   28.0745   25.9915   6.9433   25.4154
   22   25.3747   24.5882   2.6215   25.3747 *
   23   28.5471   27.9412   2.0197   25.3747
   24   25.2357   23.5242   5.7052   25.2357 *
   25   23.1310   21.6957   4.7844   23.1310 *
   26   25.1288   23.6658   4.8766   23.1310
   27   26.8919   25.0856   6.0208   23.1310
   28   25.3303   23.9865   4.4794   23.1310
   29   24.1236   22.7968   4.4227   23.1310
   30   25.2815   23.9363   4.4843   23.1310
   31   24.0903   23.1628   3.0916   23.1310
   32   24.9006   24.3403   1.8675   23.1310
   33   25.7059   25.2521   1.5125   23.1310
   34   25.1105   24.0784   3.4402   23.1310
   35   23.8427   22.5539   4.2961   23.1310
   36   24.4942   23.2151   4.2635   23.1310
   37   27.0322   25.2509   5.9375   23.1310
   38   24.7947   23.0777   5.7233   23.1310
   39   26.0669   24.6016   4.8843   23.1310
   40   25.6380   24.2299   4.6937   23.1310
   41   23.7448   22.3614   4.6112   23.1310
   42   23.6116   22.2893   4.4079   23.1310
   43   26.0623   24.4286   5.4456   23.1310
   44   23.9536   22.2862   5.5578   23.1310
   45   23.9104   22.2336   5.5891   23.1310
   46   26.4859   24.8213   5.5486   23.1310
   47   24.9160   23.5428   4.5775   23.1310
   48   24.5049   22.9976   5.0245   23.1310
   49   25.6687   24.1318   5.1227   23.1310
   50   26.2826   24.6444   5.4610   23.1310
   51   24.6535   23.3152   4.4609   23.1310
   52   22.9106   21.5273   4.6110   22.9106 *
   53   25.6535   25.1731   1.6012   22.9106
   54   24.7130   23.1927   5.0677   22.9106
   55   27.1323   25.3031   6.0974   22.9106
   56   24.9861   23.0908   6.3175   22.9106
   57   25.9545   24.4547   4.9994   22.9106
   58   25.5537   23.9495   5.3474   22.9106
   59   24.3896   23.0950   4.3154   22.9106
   60   25.0869   23.2277   6.1971   22.9106
   61   23.6002   22.2019   4.6610   22.9106
   62   25.5324   23.9450   5.2916   22.9106
   63   25.4429   24.7122   2.4359   22.9106
   64   24.9835   23.4335   5.1665   22.9106
   65   26.5216   24.9287   5.3098   22.9106
   66   24.9776   23.5311   4.8215   22.9106
   67   27.2393   25.4615   5.9259   22.9106
   68   23.3581   21.9131   4.8165   22.9106
   69   24.9753   23.5998   4.5848   22.9106
   70   25.6221   24.2534   4.5624   22.9106
   71   24.8272   23.2683   5.1963   22.9106
   72   25.4644   24.0265   4.7928   22.9106
   73   25.8666   23.9025   6.5467   22.9106
   74   24.8721   23.4704   4.6722   22.9106
   75   25.2253   23.8265   4.6627   22.9106
   76   25.8845   24.3827   5.0058   22.9106
   77   26.4368   25.0738   4.5434   22.9106
   78   22.5332   21.1358   4.6580   22.5332 *
   79   26.1342   24.0351   6.9973   22.5332
   80   25.6857   25.3067   1.2634   22.5332
   81   23.9116   22.3577   5.1796   22.5332
   82   25.8539   24.2317   5.4072   22.5332
   83   24.0718   23.5131   1.8624   22.5332
   84   25.2021   23.7237   4.9280   22.5332
   85   31.2103   29.0045   7.3528   22.5332
   86   24.7884   23.2446   5.1460   22.5332
   87   23.4110   21.8064   5.3486   22.5332
