/Users/terrace/Library/Python/3.9/lib/python/site-packages/optuna/_experimental.py:33: ExperimentalWarning: Argument ``multivariate`` is an experimental feature. The interface can change in the future.
  optuna_warn(
Aeolia History Engine Optimizer (Optuna TPE)
  Trials       : 500
  Seeds        : [17, 42, 97, 137, 256]
  Params       : 33
  Variance λ   : 0.3
  Results dir  : /Users/terrace/Labs/Aeolia/aeolia-godot/optimization/results

Loading worlds...
  seed=17 [godot]: 42 archs, 151 edges
  seed=42 [godot]: 42 archs, 150 edges
  seed=97 [godot]: 42 archs, 142 edges
  seed=137 [godot]: 42 archs, 151 edges
  seed=256 [godot]: 42 archs, 143 edges

Evaluating default params (baseline)...
  Baseline total=27.9498  mean=27.2992  std=2.1689
  Components: lattice_density=0.016  reach_spread=0.395  lattice_latitude=0.740  reach_latitude=0.683  lattice_shelf=0.064  civ_gap=0.898  peak_asymmetry=0.000  edge_topology=0.027  climate_crop=0.337  yield_asymmetry=0.001  industrial_convergence=0.000  nav_weapons_coupling=0.000  security_dilemma=0.000  nuclear_emergence=0.000  pu_gate=5.600  supply_chain=0.000  cu_tech_lead=0.000  au_priority=4.000  serial_horizon=4.000  maritime_asymmetry=0.372  colonial_extraction=1.740  nuclear_convergence=6.128  df_timing=0.196  sov_ordering=0.007  sov_recovery=0.000  pop_ratio=2.000  pop_inequality=0.014  epi_correlation=0.081

Trial     Total      Mean      Std      Best
-------------------------------------------------------
    1   32.5667   31.8613   2.3515   32.5667 *
    2   31.3311   30.7112   2.0663   31.3311 *
    3   32.7288   32.2023   1.7548   31.3311
    4   30.1564   29.8659   0.9685   30.1564 *
    5   31.1736   30.5271   2.1549   30.1564
    6   27.8990   27.3511   1.8264   27.8990 *
    7   28.2915   27.7684   1.7437   27.8990
    8   32.6031   31.8786   2.4150   27.8990
    9   28.0737   27.4767   1.9902   27.8990
   10   27.8873   27.2052   2.2737   27.8873 *
   11   31.2520   30.7376   1.7146   27.8873
   12   31.3876   30.8097   1.9262   27.8873
   13   27.2257   26.7262   1.6647   27.2257 *
   14   32.5711   31.8741   2.3230   27.2257
   15   28.9913   28.6341   1.1906   27.2257
   16   28.6804   28.3245   1.1861   27.2257
   17   26.9933   26.4968   1.6549   26.9933 *
   18   28.3685   27.8033   1.8838   26.9933
   19   29.6639   29.2923   1.2386   26.9933
   20   32.3642   31.6731   2.3037   26.9933
   21   27.5159   27.1258   1.3004   26.9933
   22   26.8438   26.3034   1.8015   26.8438 *
   23   26.8507   26.2731   1.9254   26.8438
   24   28.0317   27.5095   1.7408   26.8438
   25   26.3484   25.8756   1.5759   26.3484 *
   26   27.2225   26.7457   1.5894   26.3484
   27   25.6796   25.1453   1.7812   25.6796 *
   28   30.7903   30.2714   1.7294   25.6796
   29   26.3880   25.9117   1.5875   25.6796
   30   26.5471   25.9297   2.0579   25.6796
   31   26.0599   25.5986   1.5377   25.6796
   32   26.7158   26.2456   1.5671   25.6796
   33   27.5664   26.9196   2.1562   25.6796
   34   30.5776   30.0719   1.6854   25.6796
   35   26.5130   26.0934   1.3988   25.6796
   36   27.7949   27.1866   2.0277   25.6796
   37   26.2997   25.8310   1.5624   25.6796
   38   30.9761   30.3912   1.9495   25.6796
   39   26.5111   26.0009   1.7007   25.6796
   40   27.2613   26.7048   1.8549   25.6796
   41   26.4384   25.9440   1.6482   25.6796
   42   27.9681   27.3210   2.1568   25.6796
   43   26.4211   26.0091   1.3731   25.6796
   44   25.7131   25.1802   1.7765   25.6796
   45   31.0108   30.4082   2.0086   25.6796
   46   30.2706   29.7230   1.8250   25.6796
   47   26.7831   26.3775   1.3518   25.6796
   48   30.7126   30.2472   1.5514   25.6796
   49   27.4648   26.9028   1.8733   25.6796
   50   30.9028   30.3530   1.8325   25.6796
   51   26.0181   25.5377   1.6013   25.6796
   52   27.1139   26.7813   1.1089   25.6796
   53   27.2829   26.7222   1.8692   25.6796
   54   26.9684   26.5601   1.3610   25.6796
   55   26.6255   25.9837   2.1394   25.6796
   56   26.4431   25.9469   1.6538   25.6796
   57   26.0221   25.5375   1.6153   25.6796
   58   26.5423   26.0742   1.5604   25.6796
   59   26.6053   26.0211   1.9472   25.6796
   60   26.8637   26.3572   1.6885   25.6796
   61   27.6254   27.0208   2.0155   25.6796
   62   26.3123   25.8141   1.6607   25.6796
   63   30.5409   30.0369   1.6799   25.6796
   64   27.4364   26.8523   1.9469   25.6796
   65   26.1383   25.6748   1.5449   25.6796
   66   26.1894   25.7465   1.4761   25.6796
   67   26.8124   26.4458   1.2221   25.6796
   68   31.7178   31.1664   1.8380   25.6796
   69   30.8142   30.3385   1.5857   25.6796
   70   28.0882   27.5023   1.9528   25.6796
   71   27.0682   26.6373   1.4361   25.6796
   72   26.9562   26.6044   1.1727   25.6796
   73   25.8236   25.3116   1.7065   25.6796
   74   30.4196   29.9147   1.6833   25.6796
   75   31.7732   31.3362   1.4566   25.6796
   76   30.8332   30.3617   1.5718   25.6796
   77   26.3782   25.8721   1.6871   25.6796
   78   27.4318   27.0080   1.4127   25.6796
   79   32.2929   31.6576   2.1176   25.6796
   80   26.5126   26.0008   1.7062   25.6796
   81   26.4635   26.0106   1.5095   25.6796
   82   30.9877   30.4096   1.9273   25.6796
   83   26.3320   25.9214   1.3686   25.6796
   84   27.5387   27.0835   1.5174   25.6796
   85   26.1781   25.7623   1.3860   25.6796
   86   25.6460   25.0901   1.8529   25.6460 *
   87   30.0731   29.5090   1.8802   25.6460
   88   25.9285   25.4345   1.6468   25.6460
   89   27.2563   26.7836   1.5757   25.6460
   90   32.3528   31.6407   2.3735   25.6460
   91   26.1711   25.6698   1.6711   25.6460
   92   26.5728   26.1505   1.4075   25.6460
   93   26.3522   25.8734   1.5960   25.6460
   94   30.4505   29.9523   1.6608   25.6460
   95   30.1585   29.6036   1.8497   25.6460
   96   26.3632   25.8322   1.7701   25.6460
   97   27.6103   26.9523   2.1935   25.6460
   98   27.6781   27.0074   2.2358   25.6460
   99   27.1908   26.7359   1.5164   25.6460
  100   25.8061   25.2875   1.7288   25.6460
  101   26.2040   25.6866   1.7246   25.6460
