/Users/terrace/Library/Python/3.9/lib/python/site-packages/optuna/_experimental.py:33: ExperimentalWarning: Argument ``multivariate`` is an experimental feature. The interface can change in the future.
  optuna_warn(
Aeolia History Engine — Batch Optimizer
  Batches      : 10
  Trials/batch : 1000  (total: 10000)
  Startup/batch: 80
  Seeds        : [17, 42, 97, 137, 256]
  Params       : 33
  Variance λ   : 0.3

Loading worlds...
  seed=17 [godot]: 42 archs, 151 edges
  seed=42 [godot]: 42 archs, 150 edges
  seed=97 [godot]: 42 archs, 142 edges
  seed=137 [godot]: 42 archs, 151 edges
  seed=256 [godot]: 42 archs, 143 edges

Evaluating default params (baseline)...
  Baseline total=27.9498  mean=27.2992  std=2.1689
  Top components: nuclear_convergence=6.128  pu_gate=5.600  au_priority=4.000  serial_horizon=4.000  pop_ratio=2.000  colonial_extraction=1.740  civ_gap=0.898  lattice_latitude=0.740

Batch   Trial     Total      Mean      Std     GBest
------------------------------------------------------------
    1       1   32.3851   31.6938   2.3045   32.3851 **
    1       2   31.1702   30.5495   2.0689   31.1702 **
    1       3   32.0304   31.5840   1.4877   31.1702
    1       4   29.6378   29.2560   1.2729   29.6378 **
    1       5   25.4056   24.8364   1.8973   25.4056 **
    1       6   24.9888   24.4786   1.7008   24.9888 **
    1       7   26.0375   25.7794   0.8605   24.9888
    1       8   32.4079   31.7173   2.3021   24.9888
    1       9   26.5264   26.1855   1.1365   24.9888
    1      10   27.3428   26.7466   1.9872   24.9888
    1      11   29.2707   28.6101   2.2018   24.9888
    1      12   31.0834   30.5581   1.7512   24.9888
    1      13   24.1385   23.3888   2.4989   24.1385 **
    1      14   28.0867   27.4009   2.2860   24.1385
    1      15   28.6890   28.3318   1.1909   24.1385
    1      16   28.1747   27.8822   0.9749   24.1385
    1      17   24.9688   24.3963   1.9082   24.1385
    1      18   28.0737   27.4750   1.9957   24.1385
    1      19   25.0473   24.7017   1.1518   24.1385
    1      20   29.9557   29.4724   1.6112   24.1385
